Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Nutrient limitation dampens the response of a harmful algae to a marine heatwave in an upwelling system,"Fischer, AD; Houliez, E; Bill, BD; Kavanaugh, MT; Alin, SR; Collins, AU; Kudela, RM; Moore, SK","Harmful algal blooms caused by toxin-producing species of the diatom genus Pseudo-nitzschia have been linked to anomalously warm ocean conditions in the Northern California Current System. This study compares summertime concentrations of Pseudo-nitzschia spp. and the toxin they produce, domoic acid, during a marine heatwave year (2019) and a climatologically neutral year (2021). An Imaging FlowCytobot was installed on a fishery survey vessel alongside environmental sensors to continuously sample phytoplankton and oceanographic parameters. This was paired with targeted manual sample collections for nutrients, chlorophyll, and domoic acid. Accumulations of Pseudo-nitzschia spp. were associated with upwelling zones and established hotspot regions: the Juan de Fuca Eddy, Heceta Bank, and Trinidad Head. Overall, however, Pseudo-nitzschia spp. and domoic acid concentrations were low during both summers and appear to have been limited by nitrate. Nutrient availability may therefore modulate the response of Pseudo-nitzschia spp. to warm anomalies. Comparison of these results with 2015, another marine heatwave year but one that produced record concentrations of Pseudo-nitzschia spp. and domoic acid, suggests that the timing of marine heatwave conditions in the nearshore relative to seasonal upwelling plays a key role in determining whether a Pseudo-nitzschia spp. harmful algal bloom will occur.",2024,,LIMNOLOGY AND OCEANOGRAPHY,,,,WOS:001256572800001,10.1002/lno.12604,,#193,Fischer 2024,"",heatwave
"A Global, Multiproduct Analysis of Coastal Marine Heatwaves: Distribution, Characteristics, and Long-Term Trends","Marin, M; Feng, M; Phillips, HE; Bindoff, NL","Major marine heatwave (MHW) events have caused catastrophic impacts on coastal marine ecosystems. However, to date there has not been a global assessment of MHWs in coastal areas where rich marine ecosystems are at risk. Here, we combine four satellite Sea Surface Temperature (SST) products to quantify the distribution, characteristics, and decadal trend of coastal MHWs, using an ensemble approach. Hotspots of MHW stress, defined as yearly cumulative intensity, were found to be concentrated in mid latitude coasts like the Mediterranean Sea, Japan Sea, and Tasman Sea, as well as the north-eastern coast of the United States. We found a global increase in coastal MHW frequency and duration during the past 25 years by 1-2 events per decade and 5-10 days per decade, respectively, with regional distribution closely related to decadal climate variability. Increases in frequency and duration of MHWs has led to large increases of cumulative intensity and yearly cumulative intensity, particularly in mid-latitudes and hotspot regions. Long-term changes in mean SST were the main driver of the observed trends of coastal MHWs, while internal variability was important for explaining local decreases in MHW metrics such as along the south-eastern Pacific coast. MHW average metrics and trends were consistent across all four products used in this analysis, giving high confidence in the results. However, important differences between products were observed for MHW mean intensity, which was well correlated to SST variability, suggesting sensitivity of this metric to the specific SST data set and demonstrating a need for an ensemble approach to MHW analysis.",2021,,JOURNAL OF GEOPHYSICAL RESEARCH-OCEANS,126,2,,WOS:000624429800055,10.1029/2020JC016708,,#194,Marin 2021,"",GLOBAL; heatwave
Global Warming has Increased the Distance Traveled by Marine Heatwaves,"He, YL; Zhang, BY; Xia, ZH; Wang, SS; Guan, XD","Due to the destructive effects of marine heatwaves (MHWs) on marine ecosystems and local economies, whether they become more frequent and stronger under global warming has attracted much attention. The proposed event-based algorithm identifies 3,843 MHWs during 1982-2020. Except for the MHW frequency, the global averaged duration, intensity, area and moving distance increased significantly. The contributions of the frequency and mean projection area to the total projection area were further investigated from the four categories of MHWs. The results showed that for moderate MHWs, frequency contributes more than the mean projection area to the increase in projection area; however, for strong, severe, and extreme MHWs, the mean projection area contributes much more than frequency. Due to the increased moving distance, the projected area change of the extreme MHW dominates the increase in the total projected area. The high sensitivity of extreme MHWs to global warming deserves extra attention.",2023,,GEOPHYSICAL RESEARCH LETTERS,50,2,,WOS:000934162700044,10.1029/2022GL102032,,#195,He 2023,KAREN HUNTER (2025-08-22 05:26:59)(Select): I accepted this paper into the corpus because it is event scale and also provides an actual estimate of MHWs (census?) that have occurred.  Oceanographers can argue about the definition and strength of event categorization :) ; ,GLOBAL; heatwave
Bottom marine heatwaves along the continental shelves of North America,"Amaya, DJ; Jacox, MG; Alexander, MA; Scott, JD; Deser, C; Capotondi, A; Phillips, AS","Recently, there has been substantial effort to understand the fundamental characteristics of warm ocean temperature extremes-known as marine heatwaves (MHWs). However, MHW research has primarily focused on the surface signature of these events. While surface MHWs (SMHW) can have dramatic impacts on marine ecosystems, extreme warming along the seafloor can also have significant biological outcomes. In this study, we use a high-resolution (similar to 8km) ocean reanalysis to broadly assess bottom marine heatwaves (BMHW) along the continental shelves of North America. We find that BMHW intensity and duration varies strongly with bottom depth, with typical intensities ranging from similar to 0.5 degrees C-3 degrees C. Further, BMHWs can be more intense and persist longer than SMHWs. While BMHWs and SMHWs often co-occur, BMHWs can also exist without a SMHW. Deeper regions in which the mixed layer does not typically reach the seafloor exhibit less synchronicity between BMHWs and SMHWs.The authors investigate marine heatwaves on the ocean bottom in the shallow waters surrounding North America. Relative to their surface counterparts, bottom marine heatwaves are often more intense, more persistent, and can occur independently.",2023,,NATURE COMMUNICATIONS,14,1,,WOS:001029839500001,10.1038/s41467-023-36567-0,,#196,Amaya 2023,"",GLOBAL; heatwave
Extensive Marine Heatwaves at the Sea Surface in the Northwestern Pacific Ocean in Summer 2021,"Kuroda, H; Setou, T","In July-August 2021, intense marine heatwaves (MHWs) occurred at the sea surface over extensive areas of the northwestern Pacific Ocean, including the entire Sea of Japan and part of the Sea of Okhotsk. In extent and intensity, these MHWs were the largest since 1982, when satellite measurements of global sea surface temperatures started. The MHWs in summer 2021 were observed at the sea surface and occurred concomitantly with a stable shallow oceanic surface boundary layer. The distribution of the MHWs was strongly related to heat fluxes at the sea surface, indicating that the MHWs were generated mainly by atmospheric forcing. The MHWs started to develop after around 10 July, concurrent with an extreme northward shift of the atmospheric westerly jet. The MHWs developed rapidly under an atmospheric high-pressure system near the sea surface, associated with a northwestward expansion of the North Pacific Subtropical High. The MHWs exhibited peaks around 30 July to 1 August. Subsequently, following the southward displacement of the westerly jet, the MHWs weakened and then shrank abruptly, synchronously with rapid deepening of the oceanic surface boundary layer. By 18 August, the MHWs had disappeared.",2021,,REMOTE SENSING,13,19,,WOS:000708047900001,10.3390/rs13193989,,#199,Kuroda 2021,"",""
Ecosystem response persists after a prolonged marine heatwave,"Suryan, RM; Arimitsu, ML; Coletti, HA; Hopcroft, RR; Lindeberg, MR; Barbeaux, SJ; Batten, SD; Burt, WJ; Bishop, MA; Bodkin, JL; Brenner, R; Campbell, RW; Cushing, DA; Danielson, SL; Dorn, MW; Drummond, B; Esler, D; Gelatt, T; Hanselman, DH; Hatch, SA; Haught, S; Holderied, K; Iken, K; Irons, DB; Kettle, AB; Kimmel, DG; Konar, B; Kuletz, KJ; Laurel, BJ; Maniscalco, JM; Matkin, C; McKinstry, CAE; Monson, DH; Moran, JR; Olsen, D; Palsson, WA; Pegau, WS; Piatt, JF; Rogers, LA; Rojek, NA; Schaefer, A; Spies, IB; Straley, JM; Strom, SL; Sweeney, KL; Szymkowiak, M; Weitzman, BP; Yasumiishi, EM; Zador, SG","Some of the longest and most comprehensive marine ecosystem monitoring programs were established in the Gulf of Alaska following the environmental disaster of the Exxon Valdez oil spill over 30 years ago. These monitoring programs have been successful in assessing recovery from oil spill impacts, and their continuation decades later has now provided an unparalleled assessment of ecosystem responses to another newly emerging global threat, marine heatwaves. The 2014-2016 northeast Pacific marine heatwave (PMH) in the Gulf of Alaska was the longest lasting heatwave globally over the past decade, with some cooling, but also continued warm conditions through 2019. Our analysis of 187 time series from primary production to commercial fisheries and nearshore intertidal to offshore oceanic domains demonstrate abrupt changes across trophic levels, with many responses persisting up to at least 5 years after the onset of the heatwave. Furthermore, our suite of metrics showed novel community-level groupings relative to at least a decade prior to the heatwave. Given anticipated increases in marine heatwaves under current climate projections, it remains uncertain when or if the Gulf of Alaska ecosystem will return to a pre-PMH state.",2021,,SCIENTIFIC REPORTS,11,1,,WOS:000667581800035,10.1038/s41598-021-83818-5,,#203,Suryan 2021,"",ecosystem response; heatwave
Sharp decline in humpback whale (<i>Megaptera novaeangliae</i>) survival and reproductive success in southeastern Alaska during and after the 2014-2016 Northeast Pacific marine heatwave,"Gabriele, CM; Amundson, CL; Neilson, JL; Straley, JM; Baker, CS; Danielson, SL","Understanding the ecosystem effects of ocean warming is increasingly important as marine heatwaves become more common and increase in severity. Here, we used Glacier Bay National Park long-term monitoring data (1985-2020) to investigate a sudden, sharp decline in humpback whale reproductive success and survival following the onset of the 2014-2016 Northeast Pacific marine heatwave (PMH). Oceanographic data confirm a persistent warm-water anomaly in 2015-2016 in Glacier Bay, months later than the PMH was documented in the North Pacific. We assessed changes in demographic parameters pre- and post-PMH using whale and calf counts and multi-state closed population capture-recapture models. Non-calf abundance decreased by 56% between 2013 and 2018, followed by increases in 2019-2020. The predicted proportion of females in the population declined in 2015-2017 (0.40-0.44). For 5 years during and after the heatwave (2015-2019) calf production was far lower than historic levels (0.041 calves per adult female, in contrast to 0.27 pre-PMH). Calf survival dropped tenfold beginning with calves born in 2013 (0.396-0.032) and midsummer calf losses occurred at an unprecedented rate starting in 2014. Non-calf survival declined from 0.982 pre-PMH to 0.899 post-PMH, lower than any value reported for this species. We surmise that documented changes to the forage fish and zooplankton prey base during and after the PMH were the main driver of reduced humpback whale survival and reproductive success. Humpback whale abundance and productivity in southeastern Alaska will likely take years to recover from the PMH, assuming a return to favorable feeding conditions. Our work highlights this population's continued vulnerability as the climate warms into previously unobserved states.",2022,,MAMMALIAN BIOLOGY,102,4,1113-1131,WOS:000767043400001,10.1007/s42991-021-00187-2,,#208,Gabriele 2022,"",ecosystem response; heatwave
Evidence of increased mussel abundance related to the Pacific marine heatwave and sea star wasting,"Traiger, SB; Bodkin, JL; Coletti, HA; Ballachey, B; Dean, T; Esler, D; Iken, K; Konar, B; Lindeberg, MR; Monson, D; Robinson, B; Suryan, RM; Weitzman, BP","Mussels occupy a key middle trophic position in nearshore food webs linking primary producers to predators. Climate-related environmental changes may synergistically combine with changes in predator abundance to affect intertidal ecosystems. We examined the influence of two major events on mussel (Mytilus trossulus) abundance in the northern Gulf of Alaska: the recent Pacific marine heatwave (PMH, 2014-2016) and an outbreak of sea star wasting (SSW). We investigated how mussel abundance changed since the onset of SSW and whether the density of predatory sea stars or PMH-related temperature metrics explain variation in mussel abundance. Sea stars and mussels were surveyed since 2005 approximately annually in four regions of the northern Gulf of Alaska: Katmai (KATM), Kachemak Bay (KBAY), Kenai Fjords (KEFJ) and western Prince William Sound (WPWS). Mussel percent cover in the mid-intertidal increased 1-3 years after declines in sea stars at all regions and in the low-intertidal at KATM, KBAY, and KEFJ, but not at WPWS. After the onset of SSW, large (>= 20 mm length) mussel density and mussel bed width increased at KATM but not the other regions. Total mussel densities, including recruits, did not differ before and after the onset of SSW. The total number of sea stars significantly explained variation in mussel metrics, but the proportions of the three sea star species examined did not. We did not find strong evidence for direct effects of temperature on mussels. The effects of the PMH and the SSW outbreak appear to have combined, with increased temperatures indirectly benefiting mussels in concert with relaxed top-down pressure from sea stars, allowing for increased mussel abundance. Changing mussel abundance may affect intertidal local productivity and the abundance or performance of other nearshore consumers of mussels.",2022,,MARINE ECOLOGY-AN EVOLUTIONARY PERSPECTIVE,43,4,,WOS:000823442400001,10.1111/maec.12715,,#210,Traiger 2022,"",ecosystem response; heatwave
The 2016 record-breaking marine heatwave in the Yellow Sea and associated atmospheric circulation anomalies,"Li, Y; Ren, GY; You, QL; Wang, QY; Niu, QR; Mu, L","Marine heatwaves (MHWs) are becoming more frequent and intense in many regions around the world. However, the MHWs over China's marginal seas and associated physical drivers are largely unknown. During August 2016, the Yellow Sea experienced the most intense MHW on record since 1982. Here, we used a set of high resolution satellite data and reanalysis products to examine the characteristics of the MHW in August 2016 and analyze the potential influencing factors from atmospheric perspective. MHW was directly caused by great than-normal solar radiation and much weaker wind speeds which reduced upper oceanic mixing and caused substantial warming of the stratified surface layer. These anomalies were associated with an unusually fractured western Pacific subtropical high (WPSH) and the distinctly more active transmission of Madden-Julian Oscillation (MJO) eastward to the western Pacific in August 2016. The MJO triggered more frequent tropical cyclones, splitting the WPSH into two parts. The western segment of the WPSH combined with the continental high to form an abnormally positive geopotential height at the west of 120?degrees E, causing strong subsiding flows at its east and extremely high solar radiation. An unambiguous cyclonic circulation anomaly in the lower troposphere, encompassing much of the northwestern Pacific, reduced the surface wind speed in the Yellow Sea. Therefore, MJO was critical to driving the extreme MHW in August 2016 in the Yellow Sea.",2022,,ATMOSPHERIC RESEARCH,268,,,WOS:000770640300004,10.1016/j.atmosres.2021.106011,,#213,Li 2022,"",heatwave; physical drivers
Marine heatwaves impair the thermal refugia potential of marginal reefs in the northern South China Sea,"Mo, SH; Chen, TR; Chen, ZS; Zhang, WJ; Li, S","Frequent marine heatwaves (MHWs), concurrent with climate warming, threaten global low-latitude, pristine coral reefs, leading to growing interest in identifying marginal coral reefs (relatively high-latitude and/or turbid reef envi-ronments) that can serve as thermal refugia from mass coral bleaching. However, the thermal refugia potential of mar-ginal reefs remains controversial. We evaluated the thermal refugia potential of inshore reefs in the northern South China Sea (nSCS), a globally typical marginal reef system, by characterizing the long-term trend of MHW intensity and frequency and assessing thermal stress during a mass bleaching event in summer 2020. An unprecedented peak intensity of around 20 degrees C-weeks of cumulative heat stress, associated with a prolonged anomalous western Pacific sub-tropical high (WPSH) and weakened monsoon activity, induced record-breaking bleaching. The geographical variabil-ity of bleaching was strongly related to the extent of heat exposure and satellite-derived temperature anomalies. Under ongoing global warming, the frequency and intensity of MHWs over nSCS coral habitats show a markedly increasing trend, especially during the last decade. Intense MHWs and coral bleaching have already occurred throughout all El Nino-Southern Oscillation (ENSO) phases (e.g., 2010, 2015, and 2020). Climate change has pushed marginal coral reefs to or beyond the limits of their resilience, and frequent MHW events have amplified the increasing risk of thermal stress. There are no long-term thermal refugia for marginal reefs in the nSCS.",2022,,SCIENCE OF THE TOTAL ENVIRONMENT,825,,,WOS:000764242600010,10.1016/j.scitotenv.2022.154100,,#214,Mo 2022,"",ecosystem response; heatwave
"Rain, Runoff, and Diatoms: the Effects of the North Pacific 2014-2015 Warm Anomaly on Particle Flux in a Canadian West Coast Fjord","Johannessen, SC; Macdonald, RW; Wright, CA","Sediment traps were deployed at 50m depth in Douglas Channel, a fjord on the west coast of Canada, for 3years (July 2013-July 2016). Particle flux was related to rain, freshwater discharge, and phytoplankton blooms. The North Pacific warm water anomaly (known popularly as the Blob) reached coastal waters during the second year of deployment, resulting in more autumn rain and less snow than during the other 2years. The maximum particle flux was associated with the snowfed river freshet in May during the first year and with heavy October rains during the second and third years. A protracted sedimentation event consisting of copious diatoms occurred during the warm, second winter (December 2014-February 2015). Silica (empty diatom frustules) was exported, intercepting silicate from local rivers that might otherwise have reached the outer shelf. The effects of extreme climate events are experienced differently inshore than offshore, because they are mediated by local hydrology. During the Blob year, Douglas Channel experienced exceptionally high rainfall in October, which resulted in high particle flux. As the climate continues to warm, mild, rainy years like 2014-2015 will become more common, with the possibility of further winter blooms.",2019,,ESTUARIES AND COASTS,42,4,1052-1065,WOS:000465958500010,10.1007/s12237-018-00510-0,,#215,Johannessen 2019,"",heatwave; physical impact
The pelagic ecosystem in the Northern California Current off Oregon during the 2014-2016 warm anomalies within the context of the past 20 years,"Peterson, WT; Fisher, JL; Strub, PT; Du, XN; Risien, C; Peterson, J; Shaw, CT","A warm anomaly in the upper ocean, colloquially named the Blob, appeared in the Gulf of Alaska during the calm winter of 2013-2014, spread across the northern North Pacific (NP) Ocean, and shifted eastward and onto the Oregon shelf. At least 14 species of copepods occurred which had never been observed in shelf/slope waters off Oregon, some of which are known to have NP Gyre affinities, indicating that the source waters of the coastal Blob were likely of both offshore (from the west) and subtropical/tropical origin. The anomalously warm conditions were reduced during strong upwelling in spring 2015 but returned when upwelling weakened in July 2015 and transitioned to downwelling in fall 2015. The extended period of warm conditions resulted in prolonged effects on the ecosystem off central Oregon, lasting at least through 2016. Impacts to the lower trophic levels were unprecedented and include a novel plankton community composition resulting from increased copepod, diatom, and dinoflagellate species richness and increased abundance of dinoflagellates. Additionally, the multiyear warm anomalies were associated with reduced biomass of copepods and euphausiids, high abundance of larvaceans and doliolids (indictors of oligotrophic ocean conditions), and a toxic diatom bloom (Pseudo-nitzschia) throughout the California Current in 2015, thereby changing the composition of the food web that is relied upon by many commercially and ecologically important species.",2017,,JOURNAL OF GEOPHYSICAL RESEARCH-OCEANS,122,9,7267-7290,WOS:000413167200017,10.1002/2017JC012952,,#217,Peterson 2017,"",ecosystem response; heatwave
The Pacific Decadal Oscillation modulated marine heatwaves in the Northeast Pacific during past decades,"Ren, XL; Liu, W; Capotondi, A; Amaya, DJ; Holbrook, NJ","The Pacific Decadal Oscillation has been suggested to play an important role in driving marine heatwaves in the Northeast Pacific during recent decades. Here we combine observations and climate model simulations to show that marine heatwaves became longer, stronger and more frequent off the Northeast Pacific coast under a positive Pacific Decadal Oscillation scenario, unlike what is found during a negative Pacific Decadal Oscillation scenario. This primarily results from the different mean-state sea surface temperatures between the two Pacific Decadal Oscillation phases. Compared to the cool (negative) phase of the Pacific Decadal Oscillation, warmer coastal sea surface temperatures occur during the positive Pacific Decadal Oscillation phase due to reduced coastal cold upwelling and increased net downward surface heat flux. Model results show that, relative to the background anthropogenic global warming, the positive Pacific Decadal Oscillation in the period 2013-2022 prolongs marine heatwaves duration by up to 43% and acts to increase marine heatwaves annual frequency by up to 32% off the Northeast Pacific coast.Marine heatwave events in the Northeast Pacific were more intense, lasted longer and occurred more frequently during positive phases of the Pacific Decadal Oscillation over the past 40 years, according to analyses of observations and climate model simulations.",2023,,COMMUNICATIONS EARTH & ENVIRONMENT,4,1,,WOS:001010812200002,10.1038/s43247-023-00863-w,,#218,Ren 2023,"",heatwave; physical drivers
"Past and future impacts of marine heatwaves on small-scale fisheries in Baja California, Mexico","Villaseñor-Derbez, JC; Arafeh-Dalmau, N; Micheli, F","Marine heatwaves are globally occurring events that can negatively impact fisheries, but their impacts on small-scale operations remain understudied. We investigate the historical and future impacts of marine heatwaves on small-scale fisheries operating along a biogeographic transition zone in the Baja California Peninsula, Mexico. We estimate the impacts of the most intense marine heatwave regime on record on fisheries production of 43 economic units operating in a system of 55 Territorial Use-Rights for Fisheries. During this regime, aggregate landings in the lobster, sea urchin, and sea cucumber fisheries decreased between 15 and 58%. Most operations (56%) presented large reductions in landings, whose losses more than outweigh the small increase detected for the other 44%. Notably, impacts were larger for fisheries operating near an equatorward biogeographic break, and for operations in areas of high historical environmental variation and low historical variation in fisheries production. Climate models predict an increase in the frequency and intensity of exposure to marine heatwaves for all fisheries, but the change in frequency and intensity will be greater for those in the north. In the face of extreme environmental shocks such as marine heatwaves, small-scale fisheries operating near biogeographic transition zones are among the most vulnerable.Intense marine heatwaves led to a reduction in aggregate small-scale fisheries landings of lobsters, sea urchins and sea cucumbers of up to 58% during the last two decades in the Baja California Peninsula, according to an analysis of fisheries data and sea surface temperatures.",2024,,COMMUNICATIONS EARTH & ENVIRONMENT,5,1,,WOS:001347912700004,10.1038/s43247-024-01696-x,,#219,Villaseñor-Derbez 2024,"",heatwave; resource management
Differential Responses of Eelgrass and Macroalgae in Pacific Northwest Estuaries Following an Unprecedented NE Pacific Ocean Marine Heatwave,"Magel, CLL; Chan, FC; Hessing-Lewis, M; Hacker, SDD","The 2013-2016 northeast Pacific Ocean marine heatwave (MHW) had myriad impacts on marine communities, but little is known about how this event affected coastal estuaries. We examined the extent to which elevated temperatures associated with the offshore MHW were observed in four estuaries (Willapa Bay, Washington and Netarts Bay, Yaquina Bay, and Coos Bay, Oregon) and the responses of macrophytes at marine dominated sites within these estuaries. Records of eelgrass (Zostera marina), ulvoid macroalgae (Ulva and Enteromorpha spp.), and environmental characteristics, including water temperature, were analyzed over three periods: before (2006-2010), during (2015-2016), and after (2017-2019) the MHW. During the MHW, all four estuaries experienced ""estuarine heatwaves"" (anomalous warm water events) at monitoring stations and there was an associated decline in macroalgae biomass. In northern estuaries (Willapa and Netarts bays) where water temperatures are normally higher and estuaries are shallower, aboveground eelgrass biomass declined and did not recover for at least three years after the MHW. In southern estuaries (Yaquina and Coos bays), where water temperatures are normally colder and estuaries are deeper, the MHW was associated with a neutral, or temporarily positive, change in aboveground eelgrass biomass. Our analysis supports the hypothesis that upwelling intensity and estuarine depth determined the severity of MHW impacts on macrophytes at marine dominated sites, and that the colder and deeper estuaries in the south may serve as refuges for eelgrass but not macroalgae. We suggest that estuary-specific responses were predictable given the drivers of macrophyte abundance at marine dominated sites, and that baseline ocean upwelling and estuarine temperature can be used to anticipate macrophyte responses at marine dominated sites to MHWs in the future.",2022,,FRONTIERS IN MARINE SCIENCE,9,,,WOS:000789028700001,10.3389/fmars.2022.838967,,#220,Magel 2022,"",ecosystem response; heatwave
Local and regional variation in kelp loss and stability across coastal British Columbia,"Starko, S; Timmer, B; Reshitnyk, L; Csordas, M; McHenry, J; Schroeder, S; Hessing-Lewis, M; Costa, M; Zielinksi, A; Zielinksi, R; Cook, S; Underhill, R; Boyer, L; Fretwell, C; Yakimishyn, J; Heath, WA; Gruman, C; Hingmire, D; Baum, JK; Neufeld, CJ","Kelp forests are among the most abundant coastal marine habitats but are vulnerable to climate change. The Northeast Pacific has experienced recent large-scale changes in kelp abundance and distribution, but little is known about changes north of the British Columbia (BC)-Washington border. Here, we assessed whether and how floating canopy kelp (Macrocystis pyrifera, Nereocystis luetkeana) distributions have changed in recent decades along the extensive coast of BC. We assembled and analysed available kelp distributional data, comparing snapshots of kelp linear extent from 1.5-3 decades ago (1994-2007) to recently collected data (2017-2021) across 11 different subregions spanning the province. We then leveraged timeseries, where available (n = 7 data sets), to contextualise patterns of change. In aggregate, the data suggest that kelp forests have declined considerably in some parts of the province, but with variable patterns of change across BC. In the warmest areas (southern BC), kelp persistence was negatively correlated with mean summer sea surface temperatures, which at times exceeded known thermal tolerances. In contrast, in northern subregions, top-down control by sea urchins and otters appeared to modulate kelp dynamics, with declines occurring in 2 subregions despite cool ocean temperatures. Timeseries data suggest that many declines occurred around the 2014-2016 marine heatwave, an event associated with sustained warming and altered trophic dynamics. Our results suggest that the extent of BC's kelp forests has declined in some places in recent decades, but that regional and local-scale factors influence their responses to environmental change.",2024,,MARINE ECOLOGY PROGRESS SERIES,733,,1-26,WOS:001200173700006,10.3354/meps14548,,#221,Starko 2024,"",ecosystem response; heatwave
"Effects of the 2013-2016 Northeast Pacific warm anomaly on physical and biogeochemical variables off northwestern Baja California, derived from a numerical NPZD ocean model","Dorantes-Gilardi, M; Rivas, D","Interannual climatic anomalies have important physical and biological consequences for the southern part of the California Current System (CCS). Two examples of these anomalies are ""The Blob"" and El Nino phenomena. The Blob was an anomalously warm water mass that formed in the Gulf of Alaska during fall 2013 and then affected most of the eastern North Pacific, including the waters off Baja California, Mexico. In this work we use a biogeochemical nutrient-phytoplankton-zooplankton-detritus (NPZD) model coupled to a three-dimensional hydrodynamic model, which allowed the simulation of some of the physical and biological consequences of the anomalous warm 2013-2016 period (The Blob was observed in 2014 and El Nino by mid-2015). A model-observation comparison showed that in some cases the model solution deviates substantially from the observed vertical thermal structure, but the temporal evolution of the spatially-averaged variables diagnosed by the model shows good agreement with the observations, except for the period from late 2015 to mid-2016, when the sea surface temperature (SST) is underestimated and the model failed to reproduce the correct sign of the surface chlorophyll-a (sCHL) anomalies. An EOF analysis of the 15-year (2003-2017) record of monthly mean modeled variables allowed the identification of two main contributions to the model variability: one mode mostly correlated with the Multivariate El Nino-Southern Oscillation (ENSO) Index (MEI), explaining-50% of the variance of temperature (T) and dissolved nitrogen (N) and (similar to)10% of the variance of chlorophyll-a (CHL), and another mode mostly correlated with the Coastal Upwelling Index (CUI) anomaly, explaining (similar to)50-70% of variance of CHL and only (similar to)10-20% of variance of T and N. In the 2013-2016 period, an El Nino signal diagnosed by the MEI induced a remarkable warming off northwestern Baja California. As a consequence, the thermocline and the nutricline deepened during this period and caused a deepening and weakening of the subsurface CHL maximum (SCM). Around the southern region of the study area (near Punta Baja) these effects were more intense at the surface over the shelf, but in the northern region (south of Southern California Bight) the effects were more intense subsurface seaward of the shelf break. This ENSO-modulated subsurface warming tends to weaken the Southern California Eddy during El Nino events, and intensify it during La Nina episodes. During the 2013-2015 period there was also a weakening of the upwelling-favorable winds, which caused a prolonged negative anomaly of the wind forcing, reducing the nutrient flux and causing negative CHL anomalies. Finally, in addition to the partial relation between the ENSO and the warming observed along the Baja California coast, the anomalies were observed in this area 4-6 months before the onset of the El Nino conditions (MEI> 0.5) period, when the Blob was affecting the southern part of the CCS.",2019,,DEEP-SEA RESEARCH PART II-TOPICAL STUDIES IN OCEANOGRAPHY,169,,,WOS:000504782200006,10.1016/j.dsr2.2019.104668,,#222,Dorantes-Gilardi 2019,"",ecosystem response; heatwave; physical drivers; physical impact
A global assessment of marine heatwaves and their drivers,"Holbrook, NJ; Scannell, HA; Sen Gupta, A; Benthuysen, JA; Feng, M; Oliver, ECJ; Alexander, LV; Burrows, MT; Donat, MG; Hobday, AJ; Moore, PJ; Perkins-Kirkpatrick, SE; Smale, DA; Straub, SC; Wernberg, T","Marine heatwaves (MHWs) can cause devastating impacts to marine life. Despite the serious consequences of MHWs, our understanding of their drivers is largely based on isolated case studies rather than any systematic unifying assessment. Here we provide the first global assessment under a consistent framework by combining a confidence assessment of the historical refereed literature from 1950 to February 2016, together with the analysis of MHWs determined from daily satellite sea surface temperatures from 1982-2016, to identify the important local processes, large-scale climate modes and teleconnections that are associated with MHWs regionally. Clear patterns emerge, including coherent relationships between enhanced or suppressed MHW occurrences with the dominant climate modes across most regions of the globe - an important exception being western boundary current regions where reports of MHW events are few and ocean-climate relationships are complex. These results provide a global baseline for future MHW process and prediction studies.",2019,,NATURE COMMUNICATIONS,10,,,WOS:000471586700001,10.1038/s41467-019-10206-z,,#224,Holbrook 2019,"KAREN HUNTER (2025-08-22 05:38:55)(Select): Complicated history from me on this one. I reassessed some of the earliest papers I reviewed after more group discussions on critieria.  This paper meets the most current criteria - NP, event scale, covers processes that govern event generation; ",GLOBAL; heatwave; physical drivers
"Record-breaking marine heatwave in northern Yellow Sea during summer 2018: Characteristics, drivers and ecological impact","Li, Y; Ren, GY; Wang, QY; Mu, L; Niu, QR; Su, HX","Globally, marine heatwaves (MHWs) are becoming more common, more intense, and longer-lasting. They could have a large ecological and societal impact when compounded by low oxygen concentrations or high acidity. Here, using a high-resolution satellite product and reanalysis datasets, we investigated the characteristics of the MHW at northern Yellow Sea (NYS) during mid-summer 2018 and the driving mechanisms of large-scale atmospheric circulations. Results showed that the MHW in mid-summer 2018 (lasting from 26 July to 18 August 2018) had been the most intense since 1982, reaching an anomaly peak of 5.15 degrees C. For the 2018 MHW, the onset rate was 0.49 degrees C/day, indicating that the reaction window was relatively short and hard to take mitigation measures, while the decline rate was 0.19 degrees C/day, meaning the coping window was long and easy to push an already stressed system. The synergy of the two large-scale dynamic systems, i.e., the northward-shifted western north Pacific subtropical high (WNPSH) and the northeastward-expanded South Asia high (SAH), was likely responsible for establishment and maintenance of the hot-weather conditions. These high-pressure systems could result in stronger descending motion, less cloud cover, more solar radiation, and smaller wind speeds which in combination aggravated the MHW. We further found that the unprecedented MHW was actually also impacted by terrestrial heatwave. From 14 July to 15 August 2018, Northeast China was affected by an exceptionally long and intense atmospheric heat wave (AHW). The AHW had impacted on the MHW through warm advection transportation and may significantly contribute to the record -breaking intensity of the MHW, in addition to the impact of abnormal atmospheric circulations. Finally, we showed that a mass mortality of sea cucumbers in the study region during mid -summer 2018 was highly likely caused by the MHW through severe heat stress.",2023,,SCIENCE OF THE TOTAL ENVIRONMENT,904,,,WOS:001158686300001,10.1016/j.scitotenv.2023.166385,,#225,Li 2023,"",ecosystem response; heatwave; physical drivers
